State,District,Market_Size_Score,Chronic_Disease_Score,Acute_Disease_Score,Healthcare_Score,Economic_Score,Development_Score,Overall_PMAF,Chronic_PMAF,Acute_PMAF
Assam,Dhubri,0.16947807042760327,0.3721110560047262,0.43105179383714126,0.2508778091958333,0.11500542486643099,0.4028298996588098,26.79545258139222,27.18438492221871,28.070695886219752
Assam,Dibrugarh,0.11403235807136794,0.5100152341573579,0.32302122338441114,0.36530878299668695,0.21109098947148866,0.5200341414147904,32.53969001450437,35.80406227308885,28.714099002621797
Assam,Dima Hasao,0.017297102283580203,0.4850228161631833,0.28259764558569117,0.2858129757403227,0.10537987726114975,0.4371528548920082,24.589060821029964,28.9902268340268,20.91120531894776
Assam,Goalpara,0.0841254027015355,0.36936607004606586,0.35894055275739967,0.3320589914303072,0.12305304388339265,0.42277730191848767,26.523361026709118,27.325069011684928,25.71064569619844
Assam,Golaghat,0.09246792138456406,0.484797749094624,0.34652284940857325,0.37044592037035246,0.1506243119478128,0.4845098602409999,30.27416626390656,33.330661335037355,27.619918307251428
Assam,Hailakandi,0.05743959492783845,0.43351483754024156,0.4693768617785163,0.2768503156431509,0.12775811410704224,0.3192021623172694,24.6539207330936,26.967210860106565,25.06022928099054
Assam,Hojai,0.13186482788504075,0.39082531323726766,0.31272140396728093,0.2867437252118573,0.1048309631706903,0.47708925454314255,27.046042588260104,28.39441401823411,25.713502889824436
Assam,Jorhat,0.09540904964957506,0.47025277957301775,0.36539728607515815,0.35287335775953865,0.25776060520145266,0.567290440354711,33.8231697157873,34.96380891480679,30.14163345389217
Assam,Kamrup,0.12945822588690686,0.442026754552971,0.19977359193399216,0.3189489245364504,0.2245777847287439,0.5604115793519409,31.085933754950474,33.4118619822717,25.90901660325257
Assam,Kamrup Metro,0.13186482788504075,0.4291597799203124,0.23534085630408816,0.3296416461041648,0.137048910300595,0.5728841593965338,30.073797235970694,32.035297025469305,26.396050660190678
Assam,Kamrup Metropolitan,0.1139711260112729,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.13970073392319204,0.5544607218667333,29.539372984719353,29.443370634751876,27.449575716912065
Assam,Karbi Anglong,0.07766201124288105,0.46745866111402856,0.2534216407685726,0.271697972614038,0.12103499618937276,0.44928234539913103,25.602349527734468,29.656601212961288,22.048945951662198
Assam,Karimganj,0.1038468922605506,0.3586329366034744,0.49226539823955046,0.2775332530368318,0.13262905669035435,0.34715064518657496,25.732180291916485,25.640697989290317,27.506257029244086
Assam,Kokrajhar,0.0752123113022717,0.4421322918898423,0.3290061807364609,0.29884049528643514,0.1282804001801068,0.437262033334279,26.503289528324892,29.252512683963012,24.30006826502363
Assam,Lakhimpur,0.08681947974331544,0.4383018568441854,0.3605883792882006,0.32322667305806047,0.15093958578776204,0.4883993328668327,28.976603790443274,30.689575161058762,26.919213186545797
Assam,Majuli,0.13186482788504075,0.46997107470453625,0.2860783045622567,0.3318500603068856,0.10321045054640203,0.4586559893765246,28.07212035496499,31.85800203045857,25.65684800285724
Assam,Marigaon,0.13186482788504075,0.3838844847881336,0.3852235834831143,0.31207851582178764,0.12959928875706994,0.4193233127858315,27.548399587707074,28.452046300935606,27.413947319423006
Assam,Morigaon,0.07908844731854606,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.13970073392319204,0.5055821158970818,27.864147291471784,28.25693100120082,25.669916266585492
Assam,Nagaon,0.2376626300249688,0.4034595217274098,0.38189869971613494,0.3528474810832944,0.18397113313509933,0.4741237832761071,32.82568276482484,33.432090312412164,32.68586409581092
Assam,Nalbari,0.0648759789630061,0.4248755283480437,0.2586742561372329,0.3360836887749125,0.16088499259009464,0.5425107154065671,28.922605359544377,30.728218889856997,24.881320204818707
Assam,Sivasagar,0.10046382625854666,0.5023322445778288,0.2688671945674143,0.37105863979005305,0.1863740033853112,0.5588234024066844,32.04639182826433,35.395921956042514,27.402858517696195
Assam,Sonitpur,0.1640362241368959,0.4202808297225111,0.2933169424772885,0.2945592190947676,0.2083043843717083,0.42812333965840327,29.036441067233497,31.287537067080816,26.65008860652757
Assam,South Salmara Mancachar,0.13186482788504075,0.3170329878670682,0.3283523296659385,0.2509116706039801,0.09677628709652467,0.34826331085886614,23.0101751042183,23.685961960164338,23.37469902412753
Assam,Tamulpur,0.13186482788504075,0.36947146284070165,0.30896780327017254,0.32961643437933225,0.136155618277236,0.5173379938360513,29.08389014866195,29.376840657231075,27.394094696205308
Assam,Tinsukia,0.1124684788754183,0.5080549020066308,0.3245418455623808,0.3177131084459796,0.19605279151424637,0.4813379527419258,30.47741410724152,34.13972471679299,27.02245988051301
Assam,Udalguri,0.07025648957712205,0.4757339150730849,0.3195560932644557,0.29929548981498766,0.12238187816258553,0.4334663272053959,26.460903778577233,30.212118059892912,23.8083205049316
Assam,West Karbi Anglong,0.13186482788504075,0.46973834227397354,0.35997686603782847,0.2548011522499279,0.1019383504264277,0.3190474595856403,24.450187886058753,28.893711434541263,23.85648493054437
Bihar,Araria,0.2388521901886041,0.38271601479910783,0.599149610327333,0.19609266996352068,0.12076588687428619,0.33009652259667766,27.53480164372618,27.206411250092337,32.225266070804885
Bihar,Arwal,0.05434770058943795,0.368695633701593,0.6275706144126731,0.21286314820133775,0.1170374503703949,0.40024214601363556,25.652471384638787,24.006547371063547,28.750966035935203
Bihar,Aurangabad,0.19170044511573436,0.35319410541465257,0.4965778332611766,0.23985949846422347,0.16647352566148932,0.43895245808194844,29.237437933226207,27.879620026853818,31.211671282130034
Bihar,Banka,0.16680295034156611,0.38811751359795715,0.4724862459620724,0.24442111210130593,0.13534114686017207,0.4136113613960972,27.809569009583125,27.9748250416495,29.26224879086809
Bihar,Begusarai,0.25030274174106265,0.3715104517599477,0.42954679951238245,0.2273265913006366,0.15761632106288792,0.4518903639287504,29.753292873390052,29.43860092766298,31.148802735614307
Bihar,Bhagalpur,0.24840655203985396,0.39537993792345083,0.4063530988888486,0.2660711983522845,0.17503851191130979,0.4588659717375418,30.984975048942797,31.34209023120862,31.56582269563875
Bihar,Bhojpur,0.20500699257436836,0.38433703716749884,0.4674485473249061,0.23625229636651884,0.18723454568246733,0.4458627631580825,30.00498780055279,29.544127896498036,31.121756291879986
Bihar,Buxar,0.1282157114820211,0.32668164206246114,0.49521289005316366,0.23950589795156366,0.14847027445240554,0.44827847545461685,27.508352507968393,25.49812853219009,29.225791431164303
Bihar,Darbhanga,0.3362523929646669,0.37608940087889925,0.47964833689617814,0.22952421225965644,0.18511670524519783,0.4184773493768854,31.944790574678905,31.440185207694764,34.79759174964285
Bihar,Gaya,0.33412226148406077,0.37699838937017427,0.4889860171050917,0.2681007157716582,0.19568585096242697,0.43142967216429107,33.2466140724014,32.4889876591498,36.03863617967092
Bihar,Gopalganj,0.19687662749548546,0.3244802792732047,0.4035784613322466,0.24243288159859963,0.1762253610603545,0.4487478852036477,28.56624251321626,27.27385922438566,29.337889878800983
Bihar,Jamui,0.13964765340649551,0.38346314410349236,0.4076736537597878,0.24055527971231913,0.1254903882673068,0.37934781549737545,25.61219071630274,26.70110268498188,26.137497655569643
Bihar,Jehanabad,0.08611756978840066,0.3804338500217337,0.5564472853478254,0.23136743704888113,0.1354186927506186,0.4162585809812879,26.75205696507936,25.85875108857847,28.72012361055078
Bihar,Kaimur (Bhabua),0.12246595905551155,0.33224091453530624,0.48833774193483465,0.22429805838779474,0.14475343707799307,0.41670943499849217,26.370324355097242,24.902108263756663,28.066559383549418
Bihar,Katihar,0.2606672928491499,0.36678012206393107,0.47949378124968406,0.19047974135343868,0.1384497994348982,0.333529988491437,26.925275475714628,27.272291832727202,30.00440596550591
Bihar,Khagaria,0.13971822397214895,0.357906419114375,0.4189391037707147,0.19208427133001024,0.12907040715252877,0.41951202735178705,25.376153824980396,25.293950955852107,26.09009422183463
