State,District,Market_Size_Score,Chronic_Disease_Score,Acute_Disease_Score,Healthcare_Score,Economic_Score,Development_Score,Overall_PMAF,Chronic_PMAF,Acute_PMAF,Overall_Rank,Chronic_Rank,Acute_Rank
Maharashtra,Beed,0.1318648278850407,0.29577398472581,0.462441212836049,0.326897588663172,0.1867325862117623,0.4819268173418536,30.130588377655165,27.14759476296258,31.15115505296132,381,699,232
Maharashtra,Bhandara,0.1085712576691859,0.4105648299673117,0.3892457047754514,0.3786812888815117,0.1453470846947376,0.6062769629958882,32.775637232254105,32.35779588024981,31.1095314189778,220,243,238
Maharashtra,Bid,0.2222125810610991,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5266134649049191,31.147256946479597,31.32972716613026,30.27911051397964,317,322,280
Maharashtra,Buldhana,0.2273457956327818,0.3137112925791845,0.548060293994323,0.3734026948235606,0.1795656222498264,0.5397864734120295,35.01972758809904,31.086214117266,37.88238843899145,123,340,47
Maharashtra,Chandrapur,0.2051561456324802,0.3119240689891564,0.5662230208903203,0.3622077321765894,0.188487733401216,0.6233376944623399,36.36525701224728,31.325312916443504,38.78935728571146,89,323,37
Maharashtra,Chhatrapati Sambhajinagar,0.1318648278850407,0.3526969075554766,0.4550631991146554,0.3181808129304068,0.1698257719265943,0.5590451176849969,31.6559316752421,29.48314233649952,31.780075557566644,292,476,201
Maharashtra,Dharashiv,0.1318648278850407,0.3549624036156455,0.3756111743213655,0.3939495365172694,0.1521406536665139,0.5369593661468259,31.60402346368312,30.591674881059767,30.80101195379828,296,380,252
Maharashtra,Dhule,0.1729271354971832,0.4151921420050047,0.532026714711728,0.277224221246782,0.1410668369550712,0.4845144231585347,30.98684090431875,30.495898890965883,32.71135107457307,330,384,161
Maharashtra,Gadchiroli,0.0973393595929165,0.3828938438725518,0.4203130813099969,0.4184984754584607,0.1226343486006488,0.4736411103330472,30.27433513152696,30.293967568907064,30.128937470708838,369,398,293
Maharashtra,Gondia,0.1169261939322195,0.3647393169945401,0.3876839405941906,0.3431620739178908,0.1253517137815423,0.573704641025732,30.707125029035005,29.584963568791565,29.92221256438057,345,456,302
Maharashtra,Hingoli,0.097795607451414,0.3143799915080897,0.4460255105458919,0.3007324191522472,0.1177095277993573,0.4955345693526602,27.839497495653397,25.69484884537333,28.709268188518134,608,774,385
Maharashtra,Jalgaon,0.3693960485710041,0.4134036466054996,0.4424873846395341,0.3159599750742514,0.1981885446296837,0.5453637460968809,37.13707659988674,36.60271373451166,38.62560721235356,70,84,39
Maharashtra,Jalna,0.1653757550370558,0.3501908329124709,0.5226462056985844,0.2956329450447437,0.1344323434315664,0.4616972400416501,29.87113605721088,28.11031070546247,32.209868729411575,408,623,179
Maharashtra,Kolhapur,0.3408408010867769,0.3810244859807083,0.3448469773689362,0.5015823003734065,0.3534514408072378,0.6688114521127635,44.55243452110014,42.17420517176466,42.44473066405868,14,22,20
Maharashtra,Latur,0.2055570401068459,0.3088662966784921,0.4189019045301996,0.3570393799265666,0.2334814115239729,0.564466722137251,34.48857308597965,31.209137178647577,34.5818613622902,137,334,101
Maharashtra,Mumbai,0.2722515215700986,0.3548471024014051,0.2770366104202085,0.3560240161465987,0.3417228179161924,0.681667462100232,39.35215348287857,36.927676228128334,35.85618134120555,45,73,77
Maharashtra,Mumbai Suburban,0.839147690395036,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5567952224503585,44.089594284067125,43.97024692826339,49.23989015717934,16,11,5
Maharashtra,Nagpur,0.4158453655609904,0.2944096675510506,0.3817749160443866,0.3873425741184982,0.2508870513237911,0.7361518607092578,42.566382870205125,37.49292153482599,43.31773377418612,26,63,15
Maharashtra,Nanded,0.282970580894805,0.329389863796682,0.3815137915381894,0.3280504967172089,0.1821398438611168,0.5158959111900404,33.29017320661214,31.64012355494131,34.14780925610484,186,294,113
Maharashtra,Nandurbar,0.137828183815668,0.4091204417161502,0.6146632662464436,0.2856208508122758,0.1154820337161554,0.4077282351310016,29.17102314912796,28.59770900967648,32.48458805100323,459,579,172
Maharashtra,Nashik,0.5174851910197757,0.3732427916172453,0.5497461700529769,0.4115473463593925,0.2555779145657161,0.5503409362047935,43.928917379695775,40.98122653472063,48.31005009783461,18,32,6
Maharashtra,Osmanabad,0.1437402732289754,0.3694714628407016,0.3089678032701725,0.3296164343793322,0.139700733923192,0.5311157160304819,29.66785581234837,29.805303520743408,27.99247504589937,423,439,432
