State,District,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening
Andhra Pradesh,Visakhapatnam,58.0,0.0,72.6,7.3,6.1,29.2,23.9,8.1,2.0,94.4,95.3,64.9,2200,72.9,77.8,91.8,99.6,46.0,30.2,1.3,22.8,6.3,33.5,31.0,21.5,17.4,23.8,79.4,58.6,75.0,0.7,1.7,4.1
Andhra Pradesh,Vizianagaram,64.0,0.0,66.7,5.8,6.2,25.1,25.2,7.5,1.4,97.6,99.0,76.7,1931,60.3,61.7,93.1,99.5,37.6,32.3,0.8,21.5,11.4,32.2,36.4,19.2,16.9,28.8,76.1,71.4,59.6,0.6,4.9,7.3
Andhra Pradesh,West Godavari,63.0,0.0,62.3,7.2,7.3,31.4,28.8,2.7,1.0,98.5,98.7,67.6,2318,86.8,80.8,99.1,99.3,46.5,23.6,0.2,21.8,2.2,22.5,31.4,11.7,10.1,45.3,82.2,62.7,82.8,1.8,7.1,13.1
Andhra Pradesh,Y.S.R.,56.1,57.6,60.6,9.9,8.4,27.3,23.2,5.9,2.3,100.0,99.4,73.3,3389,94.3,85.4,99.9,99.8,40.0,16.0,0.2,18.0,3.1,26.7,34.4,14.1,15.9,33.9,84.4,82.8,71.2,0.9,13.4,3.6
Arunachal Pradesh,Anjaw,35.9,19.7,57.1,7.4,4.0,42.6,31.1,9.3,7.1,79.0,78.0,17.5,6515,29.0,86.8,86.6,96.4,28.8,68.4,31.6,66.1,22.1,16.0,23.6,14.3,2.4,22.8,52.0,32.3,16.5,0.6,0.9,0.2
Arunachal Pradesh,Changlang,57.2,60.6,65.3,8.2,5.6,27.5,22.8,1.3,0.8,81.3,75.1,40.5,6643,34.1,82.3,81.8,95.2,30.5,60.9,30.0,59.9,21.9,25.0,26.3,16.3,10.5,17.1,65.0,46.9,37.3,0.0,0.2,0.0
Arunachal Pradesh,Dibang Valley,62.9,39.0,88.6,5.5,3.5,45.4,32.2,3.9,0.7,88.1,85.5,28.7,7050,49.3,95.0,100.0,79.2,43.2,64.3,27.9,55.4,20.3,16.0,16.9,18.1,3.8,21.7,60.7,40.4,25.4,0.4,0.3,0.8
Arunachal Pradesh,East Kameng,26.2,13.1,51.7,6.7,4.3,29.0,19.5,7.3,2.4,80.3,76.0,25.1,8612,49.5,75.6,93.6,86.3,31.8,49.8,27.4,48.2,24.9,14.2,35.7,15.8,4.8,19.6,41.7,29.1,11.2,0.2,0.6,0.7
Arunachal Pradesh,East Siang,35.2,32.8,51.5,7.8,5.6,38.1,29.7,8.5,2.0,89.2,90.8,30.5,12217,52.4,83.9,97.3,97.3,55.6,50.7,18.8,51.3,24.7,10.3,24.6,8.6,6.8,27.9,39.9,34.3,11.4,0.2,1.1,0.8
Arunachal Pradesh,Kra Daadi,22.6,2.0,62.0,5.2,2.7,26.1,19.4,6.0,1.8,81.0,73.5,24.0,20101,78.3,89.3,99.8,99.7,27.4,34.8,11.5,25.0,9.9,14.5,28.8,9.4,2.0,29.8,62.5,18.3,12.7,0.3,0.0,0.6
Arunachal Pradesh,Kurung Kumey,34.8,,62.4,7.0,4.1,26.0,19.2,4.7,5.6,69.7,69.2,13.4,9838,57.3,78.3,99.8,99.2,34.7,50.2,27.5,39.4,16.4,13.9,29.2,15.1,2.7,23.3,45.2,44.1,23.8,0.0,0.7,1.4
Arunachal Pradesh,Lohit,47.2,33.2,52.5,3.2,4.0,26.6,22.1,7.5,1.7,92.3,90.2,31.9,8236,63.9,83.7,96.9,98.9,37.3,50.0,20.9,53.0,17.8,12.9,24.5,12.7,8.0,30.9,66.9,39.6,34.1,1.3,1.1,1.1
