State,District,Functional_Sub_Centres,Functional_PHCs,Functional_CHCs,Functional_SDHs,Functional_DHs
Jammu and Kashmir,Jammu,162.0,101.0,9.0,0.0,1.0
Jammu and Kashmir,Kathua,185.0,53.0,5.0,0.0,0.0
Jammu and Kashmir,Kishtwar,87.0,26.0,1.0,0.0,1.0
Jammu and Kashmir,Kulgam,118.0,45.0,3.0,0.0,1.0
Jammu and Kashmir,Kupwara,233.0,63.0,7.0,0.0,1.0
Jammu and Kashmir,Poonch,137.0,44.0,3.0,0.0,1.0
Jammu and Kashmir,Pulwama,97.0,47.0,3.0,0.0,1.0
Jammu and Kashmir,Rajouri,197.0,55.0,7.0,0.0,0.0
Jammu and Kashmir,Ramban,85.0,31.0,3.0,0.0,1.0
Jammu and Kashmir,Reasi,103.0,33.0,2.0,0.0,1.0
Jammu and Kashmir,Samba,82.0,21.0,3.0,0.0,1.0
Jammu and Kashmir,Shopian,57.0,16.0,2.0,0.0,1.0
Jammu and Kashmir,Srinagar,25.0,69.0,1.0,0.0,1.0
Jammu and Kashmir,Udhampur,146.0,49.0,2.0,0.0,1.0
Jharkhand,Bokaro,115.0,25.0,9.0,3.0,1.0
Jharkhand,Chatra,93.0,9.0,5.0,0.0,1.0
Jharkhand,Deoghar,180.0,10.0,7.0,1.0,1.0
Jharkhand,Dhanbad,140.0,35.0,9.0,0.0,1.0
Jharkhand,Dumka,248.0,35.0,10.0,0.0,0.0
Jharkhand,East Singhbum,243.0,25.0,11.0,1.0,1.0
Jharkhand,Garhwa,117.0,11.0,6.0,1.0,1.0
Jharkhand,Giridih,179.0,17.0,11.0,0.0,1.0
Jharkhand,Godda,181.0,10.0,7.0,0.0,1.0
Jharkhand,Gumla,243.0,2.0,10.0,0.0,1.0
Jharkhand,Hazaribagh,140.0,16.0,8.0,1.0,0.0
Jharkhand,Jamtara,129.0,13.0,4.0,0.0,1.0
Jharkhand,Khunti,108.0,5.0,5.0,0.0,1.0
Jharkhand,Koderma,65.0,8.0,4.0,0.0,1.0
Jharkhand,Latehar,97.0,7.0,6.0,0.0,1.0
Jharkhand,Lohardaga,74.0,7.0,4.0,0.0,1.0
Jharkhand,Pakur,121.0,10.0,5.0,0.0,1.0
Jharkhand,Palamu,171.0,24.0,7.0,2.0,0.0
Jharkhand,Ramgarh,54.0,8.0,4.0,0.0,1.0
Jharkhand,Ranchi,324.0,35.0,15.0,1.0,1.0
Jharkhand,Sahebganj,136.0,12.0,6.0,1.0,1.0
Jharkhand,Saraikela Kharsawan,192.0,13.0,6.0,1.0,1.0
Jharkhand,Simdega,155.0,8.0,6.0,0.0,1.0
Jharkhand,West Singhbhum,343.0,16.0,13.0,1.0,1.0
Karnataka,Bagalkote,233.0,55.0,8.0,5.0,1.0
Karnataka,Ballari,348.0,92.0,13.0,7.0,1.0
Karnataka,Belagavi,619.0,146.0,16.0,9.0,0.0
Karnataka,Bengaluru Rural,199.0,50.0,2.0,4.0,0.0
Karnataka,Bengaluru Urban,279.0,203.0,11.0,4.0,0.0
Karnataka,Bidar,275.0,58.0,8.0,4.0,0.0
Karnataka,Chikkaballapura,200.0,61.0,2.0,5.0,1.0
Karnataka,Chikkamagaluru,365.0,91.0,5.0,6.0,1.0
Karnataka,Chitradurga,328.0,86.0,11.0,5.0,1.0
Karnataka,Dakshina Kannada,430.0,76.0,8.0,4.0,1.0
Karnataka,Davangere,227.0,89.0,4.0,4.0,1.0
Karnataka,Dharwad,185.0,53.0,0.0,3.0,1.0
Karnataka,Gadag,188.0,42.0,2.0,4.0,0.0
Karnataka,Hassan,468.0,138.0,15.0,7.0,0.0
Karnataka,Haveri,310.0,72.0,5.0,6.0,1.0
Karnataka,Kalaburagi,323.0,102.0,16.0,6.0,0.0
Karnataka,Kodagu,196.0,30.0,7.0,2.0,0.0
Karnataka,Kolar,240.0,68.0,2.0,5.0,1.0
Karnataka,Koppal,173.0,48.0,9.0,3.0,0.0
Karnataka,Mandya,410.0,116.0,10.0,6.0,0.0
Karnataka,Mysuru,510.0,147.0,10.0,6.0,1.0
Karnataka,Raichur,213.0,57.0,6.0,4.0,0.0
Karnataka,Ramanagara,241.0,65.0,4.0,3.0,1.0
Karnataka,Shivamogga,344.0,107.0,7.0,6.0,0.0
Karnataka,Tumakuru,572.0,150.0,4.0,9.0,1.0
Karnataka,Udupi,318.0,62.0,6.0,2.0,1.0
Karnataka,Uttara Kannada,344.0,85.0,3.0,10.0,0.0
Karnataka,Vijayapura,311.0,66.0,9.0,4.0,1.0
Karnataka,Yadgir,169.0,44.0,6.0,2.0,1.0
Kerala,Alappuzha,366.0,65.0,16.0,6.0,4.0
Kerala,Ernakulam,410.0,90.0,24.0,11.0,4.0
Kerala,Idukki,309.0,41.0,13.0,4.0,2.0
Kerala,Kannur,414.0,86.0,12.0,9.0,3.0
Kerala,Kasaragod,247.0,43.0,6.0,5.0,2.0
Kerala,Kollam,421.0,62.0,16.0,9.0,2.0
Kerala,Kottayam,333.0,59.0,20.0,3.0,5.0
Kerala,Kozhikode,401.0,76.0,16.0,7.0,3.0
Kerala,Malappuram,588.0,98.0,21.0,7.0,5.0
Kerala,Palakkad,504.0,81.0,19.0,6.0,3.0
Kerala,Pathanamthitta,261.0,45.0,12.0,4.0,3.0
Kerala,Thiruvananthapuram,487.0,88.0,22.0,8.0,7.0
Kerala,Thrissur,471.0,86.0,24.0,6.0,3.0
Kerala,Wayanad,200.0,24.0,9.0,2.0,2.0
Ladakh,Kargil,150.0,16.0,4.0,0.0,1.0
Ladakh,Leh Ladakh,138.0,17.0,3.0,0.0,1.0
Lakshadweep,Lakshadweep District,9.0,4.0,3.0,2.0,1.0
Madhya Pradesh,Agar-Malwa,78.0,7.0,1.0,2.0,1.0
Madhya Pradesh,Alirajpur,194.0,15.0,8.0,0.0,1.0
Madhya Pradesh,Anuppur,162.0,22.0,9.0,0.0,1.0
Madhya Pradesh,Ashoknagar,133.0,11.0,3.0,2.0,1.0
Madhya Pradesh,Balaghat,294.0,42.0,7.0,3.0,1.0
Madhya Pradesh,Barwani,332.0,28.0,11.0,2.0,1.0
Madhya Pradesh,Betul,321.0,38.0,10.0,1.0,1.0
Madhya Pradesh,Bhind,209.0,32.0,8.0,2.0,1.0
Madhya Pradesh,Bhopal,66.0,59.0,3.0,4.0,1.0
Madhya Pradesh,Chhatarpur,239.0,42.0,11.0,1.0,1.0
Madhya Pradesh,Chhindwara,313.0,71.0,9.0,6.0,1.0
Madhya Pradesh,Damoh,178.0,20.0,6.0,1.0,1.0
Madhya Pradesh,Datia,110.0,13.0,4.0,2.0,1.0
Madhya Pradesh,Dewas,211.0,31.0,5.0,4.0,1.0
Madhya Pradesh,Dhar,477.0,53.0,15.0,4.0,1.0
Madhya Pradesh,Dindori,189.0,25.0,7.0,0.0,1.0
Madhya Pradesh,Guna,162.0,22.0,6.0,1.0,1.0
