State,District,Households,Landless_Manual_Labour,Non_Agricultural_Enterprise,Income_Tax_Households,Government_Salaried,Private_Salaried,Income_Above_10000,Refrigerator,Four_Wheeler,Kisan_Credit_Card
Uttarakhand,Nainital,99488,11048,9436,8961,12016,7777,17684,34054,2317,3150
Uttarakhand,Pauri Garhwal,137021,4625,3844,12429,21913,9036,22419,27505,1868,993
Uttarakhand,Pithoragarh,87911,2687,4613,5097,17494,6080,14839,9306,1390,1494
Uttarakhand,Rudra Prayag,46730,2128,964,3596,5506,3532,6476,4236,355,265
Uttarakhand,Tehri Garhwal,119331,6842,4428,5396,10494,18033,11228,12685,2405,1313
Uttarakhand,Udam Singh Nagar,195832,75647,11489,10062,13297,17375,23960,58855,8357,15591
Uttarakhand,Uttar Kashi,60297,1739,1901,2490,6062,1294,5307,3741,468,2266
West Bengal,Alipurduar,332395,173229,8170,25665,15921,27813,21588,18465,4383,1899
West Bengal,Bankura,725158,298123,8375,40281,45185,17350,45659,31359,2933,8888
West Bengal,Birbhum,783665,458626,7927,34546,29875,4949,34720,33002,3048,7540
West Bengal,Coochbehar,694651,318386,9777,38145,23860,3303,31009,17152,3385,6370
West Bengal,Dakshin Dinajpur,350217,146144,3833,13045,10686,1864,11579,15280,1422,3728
West Bengal,Darjeeling,247385,107476,9896,31862,26934,20995,24538,20088,5743,1237
West Bengal,Hooghly,949684,422429,16537,77876,48842,44113,91496,97465,38913,13638
West Bengal,Howrah,820420,382777,23073,52309,37628,67658,74916,94351,6741,3035
West Bengal,Jalpaiguri,653756,341934,11339,58940,29553,43083,41578,30873,5756,5176
West Bengal,Jhargram,252809,89048,1669,9182,11401,1902,8321,7636,937,1106
West Bengal,Kalimpong,45538,12568,1925,6119,7566,2542,5545,4123,1675,108
West Bengal,Malda,925283,518846,8223,38667,26988,7571,37708,32998,3558,5799
West Bengal,Murshidabad,1662985,973586,25761,66585,51130,10770,72221,56872,6533,13299
West Bengal,Nadia,1108444,605528,27717,50388,47604,11515,83061,62403,5594,9820
West Bengal,North 24 Parganas,1189125,646029,16396,93623,41906,26002,68958,83041,10942,9455
West Bengal,Paschim Bardhaman,259837,115455,17185,65829,39250,9933,65390,56365,5329,929
West Bengal,Paschim Medinipur,939907,302156,12924,58557,40605,15426,55557,50689,7170,21152
West Bengal,Purba Bardhaman,1033598,565804,17391,54155,43921,17289,63658,57053,7447,18246
West Bengal,Purba Medinipur,1080890,409581,14044,70580,49873,28081,65096,48631,3648,10164
West Bengal,Purulia,536972,159435,8418,29289,30742,6449,31421,22526,3355,2514
West Bengal,South 24 Parganas,1609174,775843,14910,84598,52613,51809,76998,88931,6258,9300
West Bengal,Uttar Dinajpur,555596,258581,5796,29920,13486,6309,19624,23222,3115,5537
