State,District,Households,Landless_Manual_Labour,Non_Agricultural_Enterprise,Income_Tax_Households,Government_Salaried,Private_Salaried,Income_Above_10000,Refrigerator,Four_Wheeler,Kisan_Credit_Card
Karnataka,Kodagu,113443,31671,3604,9473,5466,5170,14555,19733,14704,3556
Karnataka,Kolar,220158,47589,7390,16207,9099,7695,13634,11429,4532,3298
Karnataka,Koppal,199984,27415,4691,24664,5374,3384,9125,6071,4309,3996
Karnataka,Mandya,341183,71346,10867,33518,11632,10000,23291,12449,3966,2834
Karnataka,Mysuru,384759,137559,14785,53783,8034,8546,37391,12632,4437,8529
Karnataka,Raichur,235403,62412,7721,18997,3604,2347,31965,11538,3486,8621
Karnataka,Ramanagara,174396,9688,5863,22900,5237,10607,9153,5492,3252,1948
Karnataka,Shivamogga,251721,91910,6211,7526,9041,3768,23392,8901,7763,5126
Karnataka,Tumakuru,478572,70619,12361,21023,16654,10037,24331,15594,7199,7279
Karnataka,Udupi,191142,54728,10748,21847,9185,27554,25613,43264,11305,1447
Karnataka,Uttara Kannada,230220,64582,7009,14995,13800,6892,19313,19539,5316,3712
Karnataka,Vijayapura,261277,16525,9820,23460,15990,5497,18367,5246,5964,28525
Karnataka,Yadgir,150228,28937,4330,13314,3435,2681,18373,6892,2692,5889
Kerala,Alappuzha,597089,263368,11750,42661,56185,42661,82193,266092,44903,2280
Kerala,Ernakulam,570154,229515,16580,48708,40302,56697,87205,302550,80377,2781
Kerala,Idukki,338252,128551,7119,19193,15542,38995,30173,76921,28722,2810
Kerala,Kannur,424944,124023,10597,28356,28262,19473,51953,189161,37949,5153
Kerala,Kasaragod,232649,61940,5469,13910,11895,9451,25403,84979,18664,5004
Kerala,Kollam,605819,208357,14093,42725,54162,35296,81377,301224,56807,2562
Kerala,Kottayam,537608,173105,16036,46271,40294,45414,87778,293310,89012,3113
Kerala,Kozhikode,566970,232669,13456,34434,39913,16668,65027,219326,39979,3229
Kerala,Malappuram,730842,414975,8404,30575,29798,20590,60069,225262,56669,3315
Kerala,Palakkad,542939,265161,9969,23006,30225,27296,53483,139687,35109,3130
Kerala,Pathanamthitta,336373,95443,6644,22638,28473,19649,50782,195419,46957,988
Kerala,Thiruvananthapuram,650189,270324,13761,42931,59989,31526,73089,247963,46970,3184
Kerala,Thrissur,584975,235353,12181,37473,30624,49794,72994,260305,54811,3335
Kerala,Wayanad,178557,81542,2357,10942,9650,4996,14220,27276,14760,2588
Madhya Pradesh,Agar-Malwa,90290,33513,482,582,1303,281,3150,2059,2070,10982
