State,District,Households,Population,Literacy_Rate
Arunachal Pradesh,Upper Siang,7324,35320,51.51
Arunachal Pradesh,Changlang,29521,148226,49.37
Arunachal Pradesh,Tirap,20611,111975,42.84
Arunachal Pradesh,Lower Subansiri,15249,83030,65.11
Arunachal Pradesh,Kurung Kumey,15037,92076,39.76
Arunachal Pradesh,Dibang Valley,1952,8004,55.42
Arunachal Pradesh,Lower Dibang Valley,11600,54080,58.89
Arunachal Pradesh,Lohit,30005,145726,57.0
Arunachal Pradesh,Anjaw,4612,21167,47.2
Nagaland,Mon,41978,250260,47.8
Nagaland,Mokokchung,42690,194622,81.95
Nagaland,Zunheboto,27835,140757,73.09
Nagaland,Wokha,31891,166343,77.07
Nagaland,Dimapur,78605,378811,73.4
Nagaland,Phek,36639,163418,64.8
Nagaland,Tuensang,36742,196596,59.77
Nagaland,Longleng,11985,50484,59.15
Nagaland,Kiphire,14771,74004,55.72
Nagaland,Kohima,54391,267988,73.69
Nagaland,Peren,18475,95219,65.33
Manipur,Senapati,83411,479148,55.2
Manipur,Tamenglong,25039,140651,60.44
Manipur,Churachandpur,49089,274143,71.47
Manipur,Bishnupur,46580,237399,65.85
Manipur,Thoubal,85965,422168,63.79
Manipur,Imphal West,111156,517992,75.8
Manipur,Imphal East,92124,456113,71.18
Manipur,Ukhrul,35694,183998,70.56
Manipur,Chandel,28801,144182,62.63
Mizoram,Mamit,17731,86364,69.69
Mizoram,Kolasib,17270,83955,78.49
Mizoram,Aizawl,82524,400309,85.08
Mizoram,Champhai,25520,125745,80.16
Mizoram,Serchhip,12622,64937,83.89
Mizoram,Lunglei,33058,161428,75.03
Mizoram,Lawngtlai,22984,117894,53.32
Mizoram,Saiha,11144,56574,74.65
Tripura,West Tripura,410565,1725739,78.89
Tripura,South Tripura,208127,876001,73.84
Tripura,Dhalai,84509,378230,73.03
Tripura,North Tripura,152355,693947,74.99
Meghalaya,West Garo Hills,123352,643291,55.76
Meghalaya,East Garo Hills,58328,317917,60.44
Meghalaya,South Garo Hills,24527,142334,57.65
Meghalaya,West Khasi Hills,64906,383461,60.16
Meghalaya,Ri Bhoi,46872,258840,60.21
Meghalaya,East Khasi Hills,164046,825922,69.99
Meghalaya,Jaintia Hills,66028,395124,47.46
Assam,Kokrajhar,181081,887142,55.16
Assam,Dhubri,414674,1949258,47.32
Assam,Goalpara,198454,1008183,55.9
Assam,Barpeta,337929,1693622,52.97
Assam,Morigaon,184602,957423,56.39
Assam,Nagaon,559340,2823768,60.58
Assam,Sonitpur,392919,1924110,57.61
Assam,Lakhimpur,204307,1042137,65.59
Assam,Dhemaji,129869,686133,61.65
Assam,Tinsukia,268598,1327929,60.12
Assam,Dibrugarh,276867,1326335,66.69
Assam,Sivasagar,248367,1151050,70.68
Assam,Jorhat,236262,1092256,72.78
Assam,Golaghat,227197,1066888,67.65
Assam,Karbi Anglong,177646,956313,58.27
Assam,Dima Hasao,42252,214102,65.8
