State,District,Households,Population,Literacy_Rate
UTTAR PRADESH,Kanpur Nagar,863338,4581268,70.79
UTTAR PRADESH,Jalaun ,288338,1689974,63.62
UTTAR PRADESH,Jhansi,367779,1998603,65.27
UTTAR PRADESH,Lalitpur,222094,1221592,52.49
UTTAR PRADESH,Hamirpur,204863,1104285,59.16
UTTAR PRADESH,Mahoba,158435,875958,55.72
UTTAR PRADESH,Banda,319963,1799410,55.74
UTTAR PRADESH,Chitrakoot,168232,991730,53.55
UTTAR PRADESH,Fatehpur,472238,2632733,57.44
UTTAR PRADESH,Pratapgarh,533546,3209141,60.19
UTTAR PRADESH,Kaushambi,277851,1599596,50.85
UTTAR PRADESH,Allahabad ,976733,5954391,61.56
UTTAR PRADESH,Bara Banki,579058,3260699,51.9
UTTAR PRADESH,Faizabad,423375,2470996,58.72
UTTAR PRADESH,Ambedkar Nagar,368728,2397888,62.01
UTTAR PRADESH,Sultanpur,623523,3797117,58.99
UTTAR PRADESH,Bahraich,603754,3487731,40.09
UTTAR PRADESH,Shrawasti,188289,1117361,37.89
UTTAR PRADESH,Balrampur,323881,2148665,40.41
UTTAR PRADESH,Gonda,541247,3433919,48.92
UTTAR PRADESH,Siddharthnagar,379351,2559297,48.02
UTTAR PRADESH,Basti,382212,2464464,56.56
UTTAR PRADESH,Sant Kabir Nagar,256645,1715183,55.68
UTTAR PRADESH,Mahrajganj,426565,2684703,52.86
UTTAR PRADESH,Gorakhpur,692960,4440895,60.81
UTTAR PRADESH,Kushinagar,561062,3564544,54.84
UTTAR PRADESH,Deoria,468346,3100946,60.47
UTTAR PRADESH,Azamgarh,665232,4613913,60.08
UTTAR PRADESH,Mau,324424,2205968,61.79
UTTAR PRADESH,Ballia,480268,3239774,60.61
UTTAR PRADESH,Jaunpur,663513,4494204,60.78
UTTAR PRADESH,Ghazipur,546664,3620268,60.7
UTTAR PRADESH,Chandauli,296804,1952756,60.15
UTTAR PRADESH,Varanasi,560162,3676841,65.38
UTTAR PRADESH,Sant Ravidas Nagar (Bhadohi),222403,1578213,57.67
UTTAR PRADESH,Mirzapur,394925,2496970,57.22
UTTAR PRADESH,Sonbhadra,333174,1862559,52.92
UTTAR PRADESH,Etah,290683,1774480,59.47
UTTAR PRADESH,Kanshiram Nagar,237903,1436719,50.45
BIHAR,Pashchim Champaran,710461,3935042,44.71
BIHAR,Purba Champaran,981516,5099371,44.65
BIHAR,Sheohar,150144,656246,43.23
BIHAR,Sitamarhi,736322,3423574,41.97
BIHAR,Madhubani,898515,4487379,48.03
BIHAR,Supaul,443073,2229076,46.35
BIHAR,Araria,568142,2811569,42.53
BIHAR,Kishanganj,338445,1690400,44.08
BIHAR,Purnia,647777,3264619,40.81
BIHAR,Katihar,619076,3071029,41.69
BIHAR,Madhepura,401289,2001762,41.69
BIHAR,Saharsa,368979,1900661,42.35
BIHAR,Darbhanga,803012,3937385,46.14
BIHAR,Muzaffarpur,945703,4801062,52.26
BIHAR,Gopalganj,413044,2562012,53.98
BIHAR,Siwan,535661,3330464,57.96
BIHAR,Saran,631097,3951862,54.59
BIHAR,Vaishali,626087,3495021,55.13
BIHAR,Samastipur,835493,4261566,50.28
BIHAR,Begusarai,589667,2970541,52.13
BIHAR,Khagaria,328823,1666886,46.08
BIHAR,Bhagalpur,564711,3037766,51.78
BIHAR,Banka,381601,2034763,47.44
BIHAR,Munger,263171,1367765,58.62
BIHAR,Lakhisarai,163355,1000912,50.68
BIHAR,Sheikhpura,100701,636342,51.65
BIHAR,Nalanda,477529,2877653,52.82
BIHAR,Patna,975578,5838465,59.26
BIHAR,Bhojpur,416090,2728407,58.61
BIHAR,Buxar,261660,1706352,58.01
BIHAR,Kaimur (Bhabua),250884,1626384,56.58
BIHAR,Rohtas,460345,2959918,60.81
BIHAR,Aurangabad,391898,2540073,57.71
BIHAR,Gaya,688425,4391418,52.32
BIHAR,Nawada,338247,2219146,49.16
BIHAR,Jamui,307082,1760405,48.77
BIHAR,Jehanabad ,181740,1125313,55.0
BIHAR,Arwal,118222,700843,55.13
SIKKIM,North  District,8873,43709,69.67
SIKKIM,West District,28023,136435,68.48
SIKKIM,South District,30543,146850,72.69
SIKKIM,East District,61567,283583,75.58
ARUNACHAL PRADESH,Tawang,10062,49977,52.17
