State,District,Reporting_Offices,Aggregate_Deposit,Gross_Bank_Credit
Jammu and Kashmir,Budgam,97.0,5816.7803,5504.8369
Jammu and Kashmir,Doda,53.0,3270.0129,2535.8156
Jammu and Kashmir,Ganderbal,44.0,2120.6058,1969.6145
Jammu and Kashmir,Jammu,427.0,66959.2153,26142.1114
Jammu and Kashmir,Kathua,112.0,10449.5873,5567.7381
Jammu and Kashmir,Kishtwar,33.0,2706.578,1651.4037
Jammu and Kashmir,Kulgam,53.0,2979.9174,2517.6104
Jammu and Kashmir,Kupwara,76.0,3522.3961,4617.0445
Jammu and Kashmir,Poonch,50.0,4042.1548,2129.3189
Jammu and Kashmir,Pulwama,87.0,4980.357,5255.2018
Jammu and Kashmir,Rajouri,87.0,6865.0655,3807.9656
Jammu and Kashmir,Ramban,32.0,2147.6663,1462.9139
Jammu and Kashmir,Reasi,55.0,3917.1474,2039.262
Jammu and Kashmir,Samba,92.0,7763.8323,4768.6105
Jammu and Kashmir,Shopian,40.0,2004.805,2384.6239
Jammu and Kashmir,Srinagar,231.0,37421.6168,17874.6368
Jammu and Kashmir,Udhampur,82.0,7300.4446,3644.3937
Jharkhand,Bokaro,233.0,26206.4248,8963.3068
Jharkhand,Chatra,69.0,5218.937,1480.6844
Jharkhand,Deoghar,142.0,11340.8385,4357.3834
Jharkhand,Dhanbad,307.0,42875.1178,16013.6917
Jharkhand,Dumka,124.0,6555.8652,2299.3525
Jharkhand,East Singhbum,348.0,45380.0622,24114.3209
Jharkhand,Garhwa,105.0,4335.0918,1689.6674
Jharkhand,Giridih,188.0,11701.1738,4944.0333
Jharkhand,Godda,108.0,6314.6939,2136.2345
Jharkhand,Gumla,73.0,4438.0455,1354.2665
Jharkhand,Hazaribagh,183.0,14963.7203,6264.1846
Jharkhand,Jamtara,64.0,3502.2292,1002.5516
Jharkhand,Khunti,50.0,2576.5624,1011.0531
Jharkhand,Koderma,71.0,5022.8266,1910.0933
Jharkhand,Latehar,59.0,3063.6805,1422.2402
Jharkhand,Lohardaga,46.0,2391.6185,1005.7348
Jharkhand,Pakur,70.0,3163.2183,1441.9016
Jharkhand,Palamu,146.0,9448.7074,3303.615
Jharkhand,Ramgarh,114.0,10504.4611,4050.7106
Jharkhand,Ranchi,523.0,96510.3671,44349.9143
Jharkhand,Sahebganj,81.0,4148.7635,1538.3528
Jharkhand,Saraikela Kharsawan,125.0,7482.4671,4522.1686
Jharkhand,Simdega,46.0,2210.7702,628.6986
Jharkhand,West Singhbhum,133.0,38006.5415,4715.7478
Karnataka,Bagalkote,278.0,13264.4493,13767.2454
Karnataka,Ballari,204.0,17494.7235,14771.9448
Karnataka,Belagavi,643.0,45736.0014,33510.2826
Karnataka,Bengaluru Rural,247.0,38807.4348,25081.2919
Karnataka,Bengaluru Urban,2905.0,1284582.0158,788126.5657
Karnataka,Bidar,172.0,8091.1868,7026.2286
Karnataka,Chamarajanagara,140.0,4767.4268,6019.8036
Karnataka,Chikkaballapura,165.0,7817.1972,8287.804
Karnataka,Chikkamagaluru,267.0,14585.3715,12012.6965
Karnataka,Chitradurga,239.0,10503.4541,10852.7207
Karnataka,Dakshina Kannada,582.0,71626.9639,46527.4775
Karnataka,Davangere,236.0,12767.8979,17018.7142
Karnataka,Dharwad,361.0,37800.1373,34255.3407
Karnataka,Gadag,164.0,8103.7337,7361.6682
Karnataka,Hassan,348.0,16507.5719,17033.1399
Karnataka,Haveri,229.0,9046.13,14096.7588
Karnataka,Kalaburagi,290.0,21571.9725,16774.3667
Karnataka,Kodagu,158.0,9688.5393,6762.0931
Karnataka,Kolar,205.0,11272.3331,10820.4832
Karnataka,Koppal,172.0,7641.8664,7492.3616
Karnataka,Mandya,275.0,10679.9724,14288.8861
Karnataka,Mysuru,589.0,61495.9415,47439.6474
Karnataka,Raichur,247.0,11214.7138,13387.2321
Karnataka,Ramanagara,189.0,20261.8617,14132.9512
Karnataka,Shivamogga,321.0,23110.6471,18837.6319
Karnataka,Tumakuru,368.0,20614.7333,20338.428
Karnataka,Udupi,376.0,39821.6873,17317.965
Karnataka,Uttara Kannada,277.0,20552.4309,7490.9556
Karnataka,Vijayapura,435.0,24504.973,22470.2909
Karnataka,Yadgir,114.0,4774.3568,5406.8503
Kerala,Alappuzha,401.0,50603.1193,26805.8876
Kerala,Ernakulam,1078.0,191164.1359,187015.9089
Kerala,Idukki,211.0,13150.1825,13675.448
Kerala,Kannur,420.0,49912.4739,27975.7034
Kerala,Kasaragod,237.0,15701.0907,13317.3618
Kerala,Kollam,449.0,53868.423,33888.77
Kerala,Kottayam,554.0,68813.839,36285.2871
Kerala,Kozhikode,520.0,53377.5392,42725.8557
Kerala,Malappuram,545.0,42749.9933,26990.1985
Kerala,Palakkad,535.0,44536.3797,30024.5478
Kerala,Pathanamthitta,408.0,67202.5652,17900.947
Kerala,Thiruvananthapuram,824.0,130589.0628,93920.6506
Kerala,Thrissur,793.0,105958.9358,56435.0405
Kerala,Wayanad,161.0,7227.0222,8649.9776
Ladakh,Kargil,34.0,3423.9295,1306.1537
Ladakh,Leh Ladakh,66.0,6461.0407,2970.8771
Lakshadweep,Lakshadweep District,17.0,1540.2486,195.3731
Madhya Pradesh,Agar-Malwa,55.0,1534.0176,3186.5368
Madhya Pradesh,Alirajpur,42.0,1731.7111,1004.2859
Madhya Pradesh,Anuppur,59.0,5417.5012,1458.7826
Madhya Pradesh,Ashoknagar,76.0,3029.3569,3615.4071
Madhya Pradesh,Balaghat,128.0,6646.0549,4290.8283
Madhya Pradesh,Barwani,115.0,4311.5464,5027.4914
Madhya Pradesh,Betul,154.0,9925.5104,5638.3765
Madhya Pradesh,Bhind,88.0,5667.2382,2936.9202
Madhya Pradesh,Bhopal,579.0,139340.8329,107463.4984
Madhya Pradesh,Burhanpur,67.0,3910.0463,2954.8701
Madhya Pradesh,Chhatarpur,140.0,9978.734,4486.7686
Madhya Pradesh,Chhindwara,172.0,11149.0289,7883.0566
