State,District,Households_x,Population,Literacy_Rate,Women_Anaemia,Pregnant_Anaemia,Children_Anaemia,Men_High_BloodSugar,Women_High_BloodSugar,Men_Elevated_BP,Women_Elevated_BP,Diarrhoea_Prevalence,ARI_Prevalence,Skilled_Births,Institutional_Births,Health_Insurance,Out_Of_Pocket_Expense,Clean_Fuel,Improved_Sanitation,Improved_Drinking_Water,Electricity,Women_10Plus_Schooling,Men_Alcohol,Women_Alcohol,Men_Tobacco,Women_Tobacco,Children_Underweight,Children_Stunted,Children_Wasted,Women_Low_BMI,Women_Overweight,ANC_First_Trimester,ANC_4Plus_Visits,IFA_100_Days,Breast_Cancer_Screening,Cervical_Cancer_Screening,Oral_Cancer_Screening,Functional_Sub_Centres,Functional_PHCs,Functional_CHCs,Functional_SDHs,Functional_DHs,Households_y,Landless_Manual_Labour,Non_Agricultural_Enterprise,Income_Tax_Households,Government_Salaried,Private_Salaried,Income_Above_10000,Refrigerator,Four_Wheeler,Kisan_Credit_Card,Reporting_Offices,Aggregate_Deposit,Gross_Bank_Credit
Maharashtra,Dhule,408874.0,2050862.0,63.09,61.2,70.6,72.2,6.7,5.5,25.1,21.4,15.7,2.1,84.2,77.2,19.8,2269.0,65.1,58.9,89.9,96.0,40.8,0.5,38.2,15.6,0.0,46.0,37.6,38.9,26.5,23.9,61.2,63.2,30.7,0.3,0.4,0.2,232.0,47.0,5.0,2.0,1.0,285062.0,133028.0,4211.0,9201.0,11737.0,2513.0,22374.0,18753.0,2457.0,7175.0,159.0,13705.5921,10568.1711
Maharashtra,Gadchiroli,250435.0,1072942.0,66.02,66.2,39.3,76.6,5.4,4.3,17.2,17.0,4.7,3.2,98.2,97.3,33.3,1847.0,60.5,62.4,83.0,95.8,42.3,34.7,3.1,61.4,26.5,35.4,35.7,30.0,24.3,5.6,84.6,86.8,70.8,0.9,1.1,0.9,376.0,48.0,9.0,3.0,1.0,210013.0,87970.0,3699.0,7820.0,9835.0,1612.0,14127.0,9286.0,935.0,1964.0,79.0,5943.3357,2037.9481
Maharashtra,Gondia,292369.0,1322507.0,75.93,60.4,43.6,78.0,6.0,3.7,18.9,21.8,4.5,2.6,98.3,99.1,30.6,1684.0,68.0,74.3,91.6,98.2,54.1,22.6,0.4,55.1,17.2,35.6,36.9,23.7,23.4,9.4,69.0,66.2,46.0,0.6,0.9,0.7,258.0,41.0,10.0,1.0,0.0,247259.0,107892.0,4314.0,7617.0,9323.0,2368.0,13230.0,9119.0,1796.0,5302.0,125.0,8490.0585,4321.9241
Maharashtra,Hingoli,228868.0,1177345.0,67.16,51.3,53.3,72.5,5.5,5.3,17.4,17.4,10.1,3.2,95.3,94.0,14.7,3114.0,53.1,69.0,92.4,98.1,33.2,11.8,0.2,32.7,7.8,38.9,37.4,25.8,24.9,16.6,82.5,66.6,23.2,0.0,0.7,0.0,132.0,27.0,3.0,2.0,1.0,198682.0,74902.0,2226.0,4805.0,6737.0,752.0,14871.0,6494.0,1325.0,3412.0,82.0,4302.1435,4219.5491
Maharashtra,Jalgaon,903643.0,4229917.0,68.37,65.2,63.8,85.2,7.1,5.7,24.4,20.7,6.7,4.1,81.9,86.5,11.9,3366.0,79.5,59.7,94.3,96.8,40.8,12.3,0.5,37.7,12.6,36.9,36.3,30.5,22.2,26.2,60.3,58.4,28.9,0.3,0.4,0.2,442.0,95.0,17.0,3.0,0.0,629590.0,356959.0,7913.0,19277.0,26939.0,5832.0,44428.0,51682.0,4286.0,17572.0,405.0,29887.9695,21826.5122
Maharashtra,Jalna,391701.0,1959046.0,61.03,58.2,47.3,68.3,7.4,5.5,24.8,21.8,19.0,7.0,86.5,92.8,9.7,4178.0,56.4,63.6,82.8,95.7,34.3,11.3,0.2,32.5,7.0,39.0,38.0,22.2,23.3,20.6,56.0,58.4,27.2,1.4,2.4,1.9,218.0,44.0,9.0,1.0,1.0,303458.0,88553.0,4366.0,4785.0,7194.0,1935.0,29217.0,13557.0,3569.0,3502.0,134.0,9011.2354,10641.1466
Maharashtra,Kolhapur,840240.0,3876001.0,72.91,50.1,48.9,66.4,7.9,5.8,33.2,31.0,3.9,3.2,93.6,99.2,16.5,2958.0,84.7,82.0,97.3,98.8,53.8,10.0,0.0,25.8,9.6,34.7,33.6,18.9,19.2,23.7,71.5,81.8,58.8,8.5,9.4,8.3,413.0,92.0,18.0,4.0,0.0,575423.0,107368.0,21330.0,43246.0,40846.0,74530.0,79654.0,61314.0,19097.0,7985.0,479.0,38519.576,58189.2726
Maharashtra,Latur,481572.0,2454196.0,67.26,50.7,51.0,59.5,5.4,5.5,19.6,18.6,9.8,3.3,93.4,94.7,33.6,2483.0,78.5,72.5,94.6,97.2,40.7,14.2,0.2,37.5,3.7,33.9,43.2,18.0,24.2,17.6,74.6,72.6,53.6,0.5,0.9,0.4,252.0,60.0,10.0,1.0,0.0,360602.0,141587.0,9336.0,21675.0,24077.0,5904.0,49316.0,24235.0,5034.0,47409.0,206.0,14840.4366,14751.6251
Maharashtra,Mumbai,674339.0,3085411.0,81.32,45.9,19.9,72.8,11.4,9.2,23.3,21.0,3.5,1.7,98.3,99.5,30.7,6233.0,98.3,58.6,100.0,99.6,71.1,16.0,1.1,20.3,5.3,29.6,26.6,25.3,12.0,25.0,86.2,87.1,72.4,0.0,1.0,0.2,0.0,38.0,0.0,0.0,0.0,,,,,,,,,,,1021.0,2213293.9121,1987973.2779
Maharashtra,Mumbai Suburban,2105604.0,9356962.0,80.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,Nagpur,1041544.0,4653570.0,78.95,53.6,0.0,70.5,7.0,6.0,18.3,21.3,4.0,3.9,96.6,100.0,25.6,3249.0,96.0,88.9,99.5,99.5,67.6,17.8,0.4,40.2,5.0,33.9,27.6,34.0,17.1,13.4,78.1,71.4,57.1,0.3,0.8,0.7,316.0,105.0,10.0,2.0,0.0,369674.0,174937.0,19226.0,30625.0,23177.0,32341.0,34469.0,50650.0,5955.0,16045.0,802.0,139901.1079,82218.1347
Maharashtra,Nanded,665434.0,3361292.0,65.14,57.3,52.9,76.1,5.5,4.9,17.3,16.7,14.4,1.0,92.6,94.8,15.7,2964.0,64.5,68.0,94.8,96.4,31.6,14.1,0.2,36.7,5.7,35.2,36.0,19.0,22.9,19.2,62.5,53.5,21.7,0.2,1.6,0.0,379.0,79.0,13.0,4.0,1.0,480900.0,178746.0,8540.0,17763.0,22203.0,3325.0,49593.0,21849.0,3606.0,5862.0,244.0,18133.8839,16957.8462
Maharashtra,Nandurbar,323521.0,1648295.0,55.0,64.2,68.2,79.3,4.8,5.5,24.6,23.5,9.8,4.7,77.9,76.3,15.3,1313.0,40.3,54.1,94.6,96.2,29.9,13.1,2.8,42.6,26.7,57.2,45.8,30.7,36.1,12.9,51.0,58.2,38.3,1.2,0.7,0.4,293.0,63.0,12.0,2.0,1.0,288702.0,176950.0,2620.0,6400.0,8134.0,1344.0,15071.0,12248.0,1830.0,3268.0,91.0,6991.602,4647.8374
Maharashtra,Nashik,1222887.0,6107187.0,71.15,56.2,73.4,67.3,5.2,4.4,26.1,22.5,19.2,4.7,89.9,90.5,14.7,1698.0,72.5,68.3,86.3,95.3,42.6,12.2,0.2,35.0,15.4,44.8,42.2,27.2,25.6,21.7,66.9,66.4,43.4,0.2,0.4,0.0,589.0,155.0,24.0,6.0,1.0,675050.0,241846.0,17361.0,33699.0,30021.0,16261.0,53049.0,59152.0,16673.0,5275.0,703.0,91390.0628,70503.1013
Maharashtra,Osmanabad,351281.0,1657576.0,68.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,Palghar,,,,56.9,48.5,70.3,6.5,4.9,22.4,23.4,1.8,4.7,95.7,94.2,18.8,1948.0,75.0,75.1,91.1,97.7,48.3,22.4,1.4,26.2,8.3,37.1,33.0,23.9,27.9,17.0,84.7,86.3,65.3,0.4,1.8,0.0,306.0,69.0,10.0,3.0,0.0,326612.0,116936.0,7869.0,19562.0,15595.0,33510.0,30475.0,55494.0,6059.0,2744.0,343.0,41278.3825,23739.0813
Maharashtra,Parbhani,361130.0,1836086.0,63.06,58.8,48.0,75.4,5.7,6.0,21.6,21.0,18.6,1.4,90.8,85.6,10.5,2779.0,54.8,60.1,89.0,96.8,28.8,13.8,0.1,37.7,7.0,41.8,37.6,22.8,20.4,23.7,58.6,47.4,17.9,0.9,3.8,0.2,214.0,38.0,6.0,2.0,1.0,258608.0,91870.0,2236.0,4672.0,6888.0,1473.0,17499.0,9436.0,1946.0,5749.0,123.0,8568.6456,8638.5883
Maharashtra,Pune,2151503.0,9429408.0,76.06,51.9,0.0,58.7,7.2,4.2,25.8,22.4,6.7,3.3,98.5,98.0,14.4,3677.0,89.5,79.6,96.9,99.4,61.2,11.6,0.2,27.9,11.7,32.7,30.7,31.4,19.6,31.0,79.6,68.6,50.2,2.3,3.8,0.9,546.0,192.0,41.0,5.0,1.0,695094.0,155720.0,29966.0,61820.0,38454.0,112671.0,120017.0,162731.0,37108.0,96631.0,1888.0,581374.8802,433865.2949
Maharashtra,Raigad,,,,54.2,65.7,67.0,6.5,5.1,0.0,24.8,3.8,2.6,97.6,96.6,26.3,1676.0,83.3,74.8,87.8,97.9,45.0,18.7,0.4,31.8,16.2,34.1,35.8,19.1,21.8,23.1,83.8,83.1,61.6,0.6,1.0,0.4,280.0,60.0,8.0,6.0,1.0,385444.0,99297.0,11249.0,30759.0,27036.0,54794.0,45037.0,111900.0,12337.0,1139.0,520.0,63692.3773,42161.7007
Maharashtra,Raigarh,611790.0,2634200.0,73.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maharashtra,Ratnagiri,397115.0,1615069.0,74.26,43.4,0.0,69.4,6.2,8.1,33.9,32.4,2.7,2.4,95.6,97.8,16.6,3096.0,58.1,85.6,90.9,99.2,41.2,13.0,0.5,31.3,18.4,29.5,31.7,23.7,25.8,17.7,64.6,78.6,54.6,0.4,1.4,0.2,378.0,70.0,8.0,3.0,1.0,336151.0,65420.0,11883.0,18750.0,19423.0,25409.0,26616.0,45481.0,8515.0,1179.0,258.0,15887.9337,8985.0444
Maharashtra,Sangli,598386.0,2822143.0,72.62,47.5,42.3,62.7,10.5,8.3,32.0,30.1,3.8,0.3,97.6,98.0,12.3,3548.0,87.3,84.7,96.8,98.2,54.6,7.7,0.2,31.5,11.4,27.2,35.0,18.6,15.0,27.8,66.0,80.1,58.2,4.1,3.9,4.1,328.0,75.0,14.0,2.0,0.0,411888.0,83953.0,17906.0,24297.0,23908.0,26164.0,56563.0,42904.0,12805.0,4796.0,325.0,24876.5164,19445.1441
Maharashtra,Satara,653735.0,3003741.0,74.1,49.6,28.8,68.9,4.0,5.1,29.8,27.2,10.4,5.9,97.9,97.1,11.4,2607.0,82.1,78.7,95.6,97.9,48.3,11.7,0.5,40.6,29.5,28.0,20.2,20.5,22.9,26.6,77.5,81.7,59.5,0.5,1.2,0.0,402.0,76.0,15.0,2.0,1.0,509977.0,100409.0,15668.0,31039.0,38734.0,34304.0,64564.0,59045.0,16511.0,8393.0,343.0,25376.1033,18324.1403
Maharashtra,Sindhudurg,209839.0,849651.0,78.39,41.2,0.0,55.6,9.4,9.6,37.9,36.6,0.6,1.4,98.6,100.0,13.2,3290.0,66.0,87.9,73.2,99.4,49.4,8.5,0.1,26.8,11.5,32.0,30.8,27.7,21.5,20.8,70.3,73.4,59.6,0.6,1.9,0.4,248.0,38.0,7.0,3.0,1.0,180815.0,37275.0,5897.0,9396.0,16318.0,6836.0,15505.0,22656.0,4609.0,678.0,159.0,9697.5143,3949.139
Maharashtra,Solapur,873167.0,4317756.0,67.41,54.5,34.1,70.9,5.2,4.8,26.2,25.7,11.4,2.4,96.3,96.2,20.5,1910.0,73.1,67.8,90.4,97.1,36.0,13.1,0.3,39.2,10.2,32.9,36.3,23.2,21.2,28.2,81.3,81.9,60.3,0.3,1.3,0.5,430.0,96.0,16.0,3.0,0.0,589485.0,185769.0,12198.0,26409.0,29389.0,8090.0,64964.0,44607.0,9903.0,5480.0,431.0,33909.4464,30566.5872
Maharashtra,Thane,2529165.0,11060148.0,74.39,58.8,0.0,67.9,5.9,6.5,29.7,24.5,3.0,0.4,93.9,93.6,22.7,2275.0,90.4,74.7,96.7,99.3,55.9,15.6,0.4,24.2,6.9,30.8,40.8,17.8,18.9,30.7,58.9,70.2,54.9,3.0,4.3,4.8,180.0,143.0,12.0,3.0,1.0,221773.0,72716.0,7243.0,21407.0,17654.0,34580.0,29108.0,52540.0,5510.0,1375.0,1197.0,344867.8036,200413.988
Maharashtra,Unknown Districts Of India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,100.0,0.0,0.0,0.0,,,,,,,,,,,1498.0,1258677.4745,1798377.5782
Maharashtra,Wardha,309846.0,1300774.0,78.37,60.0,36.5,71.4,5.4,4.5,14.0,17.1,6.0,2.5,99.0,98.8,27.1,3482.0,83.9,80.2,98.5,98.8,56.5,24.6,0.6,52.6,9.5,31.3,27.7,28.1,17.1,19.6,87.9,70.4,50.6,0.0,0.4,0.2,181.0,32.0,9.0,2.0,1.0,225903.0,95552.0,5178.0,11644.0,13251.0,6722.0,26108.0,27226.0,2746.0,6984.0,173.0,12746.6436,10422.8035
Maharashtra,Washim,259464.0,1197160.0,72.67,56.4,33.8,70.4,4.9,4.0,21.0,21.9,19.2,5.1,83.1,92.9,24.1,3071.0,61.4,61.5,73.7,97.2,42.0,11.3,0.4,39.1,14.3,39.3,35.3,31.7,20.1,14.2,63.4,60.0,44.5,0.6,1.8,0.9,150.0,27.0,6.0,1.0,1.0,216989.0,102278.0,2648.0,7641.0,8862.0,907.0,20023.0,8197.0,1412.0,3794.0,98.0,4477.8692,4822.5214
Maharashtra,Yavatmal,646886.0,2772348.0,72.96,58.4,53.7,75.2,5.4,5.8,18.2,17.2,7.4,0.0,96.8,96.3,29.0,1734.0,71.8,66.4,89.5,97.2,38.9,20.1,0.7,46.6,12.3,39.4,36.6,27.5,23.2,10.5,77.1,66.9,41.7,0.4,1.3,0.0,450.0,69.0,14.0,3.0,0.0,547546.0,308464.0,7267.0,18771.0,19560.0,4326.0,42751.0,26970.0,3712.0,14089.0,224.0,17406.9012,11549.779
Manipur,Bishnupur,46580.0,237399.0,65.85,35.8,39.0,42.4,5.7,5.9,31.3,23.6,9.7,2.1,92.6,89.5,9.3,16362.0,71.3,52.6,77.7,98.6,48.7,44.3,0.8,60.2,48.8,11.7,15.5,7.9,7.7,40.9,84.2,77.4,57.4,1.1,1.7,0.2,33.0,7.0,2.0,0.0,1.0,22729.0,3960.0,733.0,3218.0,4097.0,615.0,3747.0,2164.0,1271.0,359.0,20.0,459.0689,618.0533
Manipur,Chandel,28801.0,144182.0,62.63,27.3,20.3,42.4,8.0,5.7,28.2,21.7,4.9,1.2,74.0,55.5,16.1,10920.0,52.0,85.2,68.6,99.9,43.3,39.1,1.2,64.7,47.9,14.7,34.0,8.3,3.7,33.7,77.6,66.6,44.2,0.0,1.1,0.1,15.0,2.0,1.0,0.0,1.0,18063.0,1092.0,120.0,718.0,3428.0,283.0,2763.0,1050.0,908.0,16.0,4.0,153.6313,217.4297
Manipur,Churachandpur,49089.0,274143.0,71.47,32.0,51.8,41.1,7.1,7.0,25.2,16.3,4.0,1.3,80.0,72.9,18.2,10646.0,62.3,81.2,62.5,94.0,36.6,38.1,1.2,73.8,62.1,9.8,25.1,12.1,7.1,28.0,69.0,61.3,28.5,0.5,0.6,0.4,50.0,7.0,0.0,0.0,1.0,45008.0,8651.0,536.0,3247.0,6884.0,1448.0,7148.0,5291.0,1638.0,124.0,22.0,1343.0315,1060.3822
Manipur,Imphal East,92124.0,456113.0,71.18,35.9,27.4,50.3,7.8,7.3,36.0,21.9,11.7,1.9,93.0,91.7,7.0,18578.0,79.0,59.5,90.2,98.6,49.9,36.1,0.8,53.5,39.6,14.4,18.4,11.7,8.7,40.1,78.6,87.1,55.8,3.3,2.3,1.9,44.0,14.0,1.0,0.0,0.0,55728.0,17704.0,919.0,7804.0,11620.0,2498.0,11026.0,7491.0,4392.0,1151.0,36.0,1724.6381,1497.3803
Manipur,Imphal West,111156.0,517992.0,75.8,26.8,39.5,41.8,8.5,7.7,38.4,27.5,2.3,2.4,98.0,95.7,15.7,14173.0,88.6,58.7,89.1,99.4,61.9,39.3,0.5,52.3,38.0,10.2,15.6,9.3,6.3,36.9,83.2,93.4,60.9,2.0,2.5,1.9,54.0,12.0,2.0,0.0,0.0,62903.0,13350.0,1492.0,8289.0,12977.0,3241.0,13248.0,11490.0,6012.0,798.0,70.0,10336.964,6574.0298
Manipur,Jiribam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,1.0,0.0,0.0,5477.0,1788.0,87.0,314.0,535.0,135.0,468.0,442.0,43.0,10.0,4.0,146.4243,53.7534
Manipur,Kakching,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,6.0,2.0,0.0,0.0,15854.0,5692.0,244.0,888.0,1766.0,421.0,1559.0,755.0,585.0,271.0,11.0,267.7234,401.2997
Manipur,Kamjong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,2.0,1.0,0.0,0.0,11200.0,358.0,46.0,336.0,1467.0,253.0,1198.0,164.0,236.0,27.0,3.0,37.316,31.4674
Manipur,Kangpokpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,6.0,1.0,0.0,0.0,54287.0,1922.0,1197.0,1991.0,8455.0,1586.0,9016.0,3982.0,2062.0,69.0,8.0,365.413,333.0105
Manipur,Noney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,3.0,1.0,0.0,0.0,9555.0,751.0,146.0,1374.0,820.0,170.0,898.0,392.0,210.0,42.0,7.0,53.9877,43.6119
Manipur,Pherzawl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,4.0,1.0,0.0,0.0,8976.0,1075.0,24.0,157.0,309.0,237.0,339.0,37.0,54.0,8.0,,,
Manipur,Senapati,83411.0,479148.0,55.2,27.4,18.3,48.5,5.9,4.6,28.2,18.7,4.4,2.3,65.0,45.8,15.4,12254.0,50.0,84.4,64.4,98.8,39.6,35.1,1.2,63.7,46.1,12.9,27.3,10.7,5.3,24.9,73.9,64.9,28.4,0.7,1.5,0.0,32.0,8.0,1.0,0.0,1.0,52486.0,1147.0,1046.0,1592.0,4830.0,2081.0,5689.0,2221.0,1720.0,95.0,24.0,636.9646,556.1983
Manipur,Tamenglong,25039.0,140651.0,60.44,27.3,31.4,37.0,7.4,6.3,29.4,21.5,3.2,1.4,69.9,57.7,16.8,8744.0,30.5,77.9,51.6,93.6,33.1,33.9,2.2,52.2,17.2,19.3,27.1,9.6,4.6,24.4,69.4,56.4,31.0,0.7,2.2,0.3,15.0,3.0,0.0,0.0,1.0,34743.0,5720.0,922.0,2526.0,6342.0,1080.0,6150.0,1674.0,1440.0,40.0,5.0,159.1401,118.214
Manipur,Tengnoupal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,0.0,1.0,0.0,11258.0,1050.0,54.0,474.0,1770.0,106.0,2076.0,368.0,433.0,352.0,7.0,136.5285,167.4977
Manipur,Thoubal,85965.0,422168.0,63.79,24.2,32.0,39.7,5.5,4.2,33.4,23.2,3.7,1.1,91.1,87.8,19.1,13144.0,74.7,61.3,72.5,98.6,40.7,34.1,1.0,58.5,47.9,14.9,31.5,8.3,7.3,31.3,90.6,89.9,68.5,0.7,2.9,0.2,37.0,10.0,3.0,0.0,1.0,22191.0,7765.0,208.0,1383.0,3798.0,356.0,3621.0,1000.0,990.0,362.0,21.0,582.543,935.325
Manipur,Ukhrul,35694.0,183998.0,70.56,21.9,25.7,34.6,5.6,3.5,25.0,22.3,2.1,1.9,54.5,44.6,17.0,13190.0,22.9,81.4,50.9,95.0,49.7,36.4,0.9,69.1,32.9,16.0,27.1,11.6,9.7,14.5,58.3,38.8,25.1,0.0,2.0,0.3,18.0,6.0,0.0,0.0,1.0,28037.0,1041.0,272.0,1901.0,4568.0,1044.0,4468.0,573.0,970.0,61.0,9.0,402.3512,257.8074
Meghalaya,East Garo Hills,58328.0,317917.0,60.44,50.9,29.1,28.0,12.0,6.3,23.2,15.3,9.2,1.6,80.8,73.8,71.9,2473.0,29.1,83.9,67.0,97.4,40.5,36.8,0.9,54.0,6.3,26.5,39.7,20.1,8.5,7.0,59.2,25.5,28.8,0.2,0.2,1.1,31.0,9.0,1.0,0.0,1.0,22435.0,5604.0,400.0,759.0,900.0,102.0,759.0,553.0,156.0,244.0,12.0,523.9614,281.9262
Meghalaya,East Jaintia Hills,,,,43.9,46.5,47.2,4.0,3.2,17.2,18.7,10.6,4.8,55.7,48.4,74.1,3464.0,26.5,83.6,74.6,85.1,23.0,42.0,3.6,68.5,49.2,23.6,49.8,8.5,13.5,15.2,55.5,58.6,51.9,0.0,0.7,0.6,36.0,6.0,2.0,0.0,0.0,22197.0,8908.0,371.0,588.0,807.0,486.0,2407.0,1214.0,238.0,124.0,17.0,1008.8325,227.3467
Meghalaya,East Khasi Hills,164046.0,825922.0,69.99,48.2,43.7,39.0,3.6,2.7,25.0,24.5,11.5,5.1,68.7,63.4,47.1,3258.0,47.4,80.9,90.0,96.6,43.5,24.0,1.2,51.9,29.8,23.8,44.6,11.2,11.6,15.6,56.7,57.5,40.1,1.3,1.3,0.8,74.0,44.0,6.0,1.0,2.0,128931.0,54337.0,1851.0,13523.0,20918.0,9251.0,20997.0,11541.0,10705.0,444.0,168.0,26189.6451,8618.2161
Meghalaya,Eastern West Khasi Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,421.4274,141.7845
Meghalaya,Jaintia Hills,66028.0,395124.0,47.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meghalaya,North Garo Hills,,,,58.4,40.8,30.2,11.8,7.8,25.4,20.0,6.6,0.9,63.2,61.5,60.8,4504.0,24.4,84.9,51.5,97.5,38.4,40.2,2.2,54.1,3.8,15.8,35.6,11.7,7.7,11.1,40.3,24.3,23.7,0.0,0.0,0.2,,,,,,29984.0,5875.0,791.0,1424.0,2072.0,246.0,1777.0,848.0,308.0,293.0,11.0,430.1229,282.7376
Meghalaya,Ri Bhoi,46872.0,258840.0,60.21,62.4,65.0,45.7,4.9,4.6,16.0,13.5,11.3,3.6,65.8,56.9,66.8,3648.0,21.0,85.3,86.2,92.1,23.1,30.9,0.7,60.4,34.1,29.6,42.5,17.9,15.5,12.2,56.1,61.0,48.8,0.4,0.6,0.4,35.0,10.0,3.0,0.0,1.0,45228.0,13948.0,775.0,1853.0,3046.0,815.0,3156.0,1553.0,1445.0,341.0,43.0,2239.9298,2674.0982
Meghalaya,South Garo Hills,24527.0,142334.0,57.65,56.2,33.7,33.6,18.3,10.0,22.8,15.8,5.4,3.1,91.2,88.3,79.5,2370.0,22.3,88.4,60.4,98.6,38.4,33.1,1.4,50.7,9.7,20.8,29.8,18.3,6.6,6.9,68.7,33.3,51.8,0.0,0.2,0.0,26.0,7.0,1.0,0.0,1.0,21856.0,4263.0,472.0,940.0,1445.0,214.0,1036.0,556.0,351.0,96.0,7.0,264.1066,152.7827
Meghalaya,South West Garo Hills,,,,62.5,37.8,35.5,12.4,8.9,20.0,13.6,7.9,7.5,88.3,83.7,75.1,2666.0,33.9,71.4,58.6,95.5,33.0,30.6,1.2,52.4,11.1,26.4,32.2,19.9,8.5,9.0,57.0,28.5,28.3,0.0,0.0,0.0,27.0,9.0,2.0,0.0,1.0,33042.0,9020.0,1123.0,2422.0,3006.0,343.0,2171.0,941.0,356.0,2608.0,12.0,379.224,258.9795
Meghalaya,South West Khasi Hills,,,,58.9,63.2,61.3,4.2,3.2,19.0,18.5,7.5,6.0,49.3,41.7,72.3,3902.0,11.6,89.6,85.3,87.9,23.4,31.7,1.1,63.7,50.0,27.6,51.4,10.4,17.2,8.9,48.5,63.4,53.8,0.0,0.2,0.2,21.0,4.0,2.0,0.0,0.0,16990.0,7398.0,274.0,1044.0,1211.0,392.0,1336.0,208.0,469.0,72.0,10.0,385.8782,178.5543
Meghalaya,West Garo Hills,123352.0,643291.0,55.76,55.3,26.7,30.2,15.9,7.6,24.7,17.4,7.8,3.5,87.5,89.6,77.9,3235.0,47.6,86.3,83.7,94.7,45.1,38.8,2.1,58.3,17.6,26.3,39.5,14.9,7.7,7.2,65.1,48.0,48.2,0.2,0.0,0.0,67.0,15.0,5.0,1.0,2.0,76626.0,20406.0,3491.0,5067.0,5392.0,882.0,4657.0,2473.0,895.0,381.0,35.0,2680.4182,1395.3948
Meghalaya,West Jaintia Hills,,,,55.9,64.6,54.6,4.4,3.8,15.5,18.0,13.7,4.8,50.7,42.2,65.6,2917.0,20.7,75.1,70.6,75.4,24.7,36.9,1.3,64.7,44.8,28.3,48.7,9.7,9.6,15.4,44.0,43.1,32.7,0.1,0.5,0.4,46.0,15.0,3.0,0.0,1.0,43805.0,22574.0,899.0,1972.0,2741.0,476.0,3578.0,1096.0,1179.0,108.0,42.0,2533.7064,743.8602
Meghalaya,West Khasi Hills,64906.0,383461.0,60.16,51.8,49.6,56.2,4.3,2.3,16.4,16.0,10.1,6.5,49.3,41.7,60.1,2947.0,8.6,87.8,80.5,85.0,16.4,34.4,1.6,73.3,50.2,31.1,59.0,8.0,14.6,8.7,45.3,64.0,51.6,0.0,0.8,0.2,46.0,17.0,2.0,0.0,2.0,42265.0,14390.0,432.0,1367.0,1791.0,587.0,2366.0,381.0,893.0,124.0,19.0,721.6397,285.3267
Mizoram,Aizawl,82524.0,400309.0,85.08,31.7,33.4,44.0,7.2,6.8,33.6,23.4,7.1,0.8,97.8,97.4,37.5,9812.0,95.4,96.1,98.3,99.7,60.7,25.8,1.0,68.7,54.7,9.6,25.3,7.3,3.8,29.7,82.8,68.5,58.5,4.7,10.8,1.6,67.0,12.0,3.0,1.0,2.0,17812.0,1931.0,575.0,2215.0,2183.0,2352.0,2185.0,5535.0,733.0,200.0,110.0,12597.4653,5493.8011
Mizoram,Champhai,25520.0,125745.0,80.16,25.7,15.7,38.3,7.4,6.9,19.6,16.1,0.8,0.0,97.5,96.7,64.9,4336.0,79.4,98.3,98.6,100.0,47.8,21.3,1.6,74.5,66.7,13.1,27.2,12.1,5.8,22.9,80.0,63.4,74.3,0.6,3.7,0.2,34.0,6.0,0.0,0.0,1.0,16099.0,1067.0,494.0,1850.0,1507.0,892.0,1495.0,3442.0,488.0,90.0,16.0,553.8628,322.9423
Mizoram,Hnahthial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,5.0,0.0,0.0,1.0,,,,,,,,,,,4.0,180.0311,112.3777
Mizoram,Khawzawl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,4.0,1.0,0.0,1.0,,,,,,,,,,,8.0,199.8118,150.3384
Mizoram,Kolasib,17270.0,83955.0,78.49,37.7,43.8,53.8,6.6,9.0,24.3,16.5,1.2,0.9,93.2,91.4,61.1,4834.0,87.5,96.8,95.3,99.1,41.7,21.7,0.9,75.3,70.6,12.6,30.4,11.3,5.9,26.0,72.7,66.0,67.7,1.9,6.3,0.7,28.0,5.0,1.0,0.0,1.0,6394.0,826.0,153.0,500.0,553.0,147.0,514.0,1621.0,72.0,119.0,24.0,799.2211,448.9429
